store_name,store_id,customer_id,unit_sales,Order Status,Destination_Location
Store 2,2,6280,2,PROCESSING,"Pithampur, Madhya Pradesh, India"
Store 2,2,4018,1,PENDING_PAYMENT,"Bangalore International Airport, Bangalore, Karnataka"
Store 2,2,6280,3,COMPLETE,"Rampella, Jharsuguda, Odisha"
Store 2,2,4018,3,PENDING_PAYMENT,"Peenya Small Industries, Bangalore, Karnataka"
Store 2,2,4382,2,PENDING,"Sahakaranagar P.O, Bangalore, Karnataka"
Store 2,2,4018,2,COMPLETE,"Onnalvadi, Krishnagiri, Tamil Nadu"
Store 2,2,4018,3,PENDING_PAYMENT,"Kapodra, Bharuch, Gujarat"
Store 2,2,1293,2,COMPLETE,"Jamalpur, Gurgaon, Haryana"
Store 2,2,1293,2,PENDING_PAYMENT,"Sarasdangal, Dumka, Jharkhand"
Store 2,2,1418,2,PENDING_PAYMENT,"Solgam, Ahmedabad, Gujarat"
Store 2,2,1418,2,PENDING_PAYMENT,"Kataganj, Nadia, West Bengal"
Store 2,2,1418,2,PENDING_PAYMENT,"Uran, Raigarh, Maharashtra"
Store 2,2,1418,1,COMPLETE,"Erode, Tamil Nadu, India"
Store 2,2,1293,1,PENDING,"Sadhuwali, Ganganagar, Rajasthan"
Store 2,2,1293,1,COMPLETE,"North Goa, Goa, India"
Store 7,7,5389,3,COMPLETE,"Topgonda, Medak, Telangana"
Store 7,7,3632,4,PROCESSING,"Adugodi, Bangalore, Karnataka"
Store 7,7,5389,3,COMPLETE,"Guruvoyal, Tiruvallur, Tamil Nadu"
Store 7,7,7841,4,PAYMENT_REVIEW,"Khorajnanoda, Ahmedabad, Gujarat"
Store 7,7,9507,3,COMPLETE,"Siripai, Rayagada, Odisha"
Store 7,7,9507,3,COMPLETE,"Palam Airport, South West Delhi, Delhi"
Store 7,7,5493,2,CLOSED,"Khorajnanoda, Ahmedabad, Gujarat"
Store 7,7,1414,4,COMPLETE,"Kataganj, Nadia, West Bengal"
Store 7,7,2218,3,COMPLETE,"Bangalore International Airport, Bangalore, Karnataka"
Store 7,7,5380,3,PENDING,"Zanu, Ahmedabad, Gujarat"
Store 7,7,7801,4,PENDING_PAYMENT,"Onnalvadi, Krishnagiri, Tamil Nadu"
Store 7,7,5380,2,COMPLETE,"Sahakaranagar P.O, Bangalore, Karnataka"
Store 7,7,5389,4,PENDING,"Mukundapur, Kolkata, West Bengal"
Store 7,7,5009,3,CLOSED,"Sanpla Khatri, Saharanpur, Uttar Pradesh"
Store 7,7,5009,2,PENDING_PAYMENT,"Chikkabidarkal, Bangalore, Karnataka"
Store 7,7,5648,3,PENDING_PAYMENT,"Odalbakra, Kamrup, Assam"
Store 7,7,7801,2,CANCELED,"Rourkela -16, Sundergarh, Odisha"
Store 7,7,1599,2,PENDING_PAYMENT,"Chikkabidarkal, Bangalore, Karnataka"
Store 7,7,7175,3,PENDING_PAYMENT,"Shive, Pune, Maharashtra"
Store 7,7,2404,3,PENDING_PAYMENT,"Patil., Gurgaon, Haryana"
Store 7,7,2890,4,COMPLETE,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU"
Store 7,7,2890,3,PAYMENT_REVIEW,"Hazaribagh, Hazaribagh, Jharkhand"
Store 7,7,9507,4,CLOSED,"Shive, Pune, Maharashtra"
Store 7,7,1599,3,PENDING,"Khorajnanoda, Ahmedabad, Gujarat"
Store 7,7,1091,3,PENDING_PAYMENT,"Haridaspur, Jajapur, Odisha"
Store 7,7,3480,2,SUSPECTED_FRAUD,"Perumanur, Ernakulam, Kerala"
